unix,date,symbol,open,high,low,close,Volume LTC,Volume BTC
1634428800,2021-10-17 00:00:00,LTC/BTC,0.00305145,0.00305372,0.00305145,0.00305372,6.96803122,0.0212784162971384
1634342400,2021-10-16 00:00:00,LTC/BTC,0.00308794,0.00312262,0.00303266,0.00305848,6224.53252053,19.037608223390595
1634256000,2021-10-15 00:00:00,LTC/BTC,0.00313978,0.00314970,0.00299541,0.00307126,11685.14388483,35.88811500772299
1634169600,2021-10-14 00:00:00,LTC/BTC,0.00310457,0.00326202,0.00305549,0.00315447,6550.05163922,20.661941394370313
1634083200,2021-10-13 00:00:00,LTC/BTC,0.00307946,0.00325000,0.00306042,0.00309258,5041.37367163,15.590851389409506
1633996800,2021-10-12 00:00:00,LTC/BTC,0.00311695,0.00313000,0.00293293,0.00308161,6451.42180884,19.88076596033943
1633910400,2021-10-11 00:00:00,LTC/BTC,0.00319503,0.00326514,0.00306538,0.00311480,5146.44473585,16.03014606322558
1633824000,2021-10-10 00:00:00,LTC/BTC,0.00325841,0.00333406,0.00319503,0.00320503,3800.10894605,12.179463175358633
1633737600,2021-10-09 00:00:00,LTC/BTC,0.00325990,0.00333585,0.00322151,0.00326360,3472.29319428,11.33217606885221
1633651200,2021-10-08 00:00:00,LTC/BTC,0.00332633,0.00335118,0.00323748,0.00325118,7176.48842439,23.33205563560828
1633564800,2021-10-07 00:00:00,LTC/BTC,0.00323700,0.00342888,0.00319503,0.00333099,6272.93736646,20.895091638304592
1633478400,2021-10-06 00:00:00,LTC/BTC,0.00338422,0.00340517,0.00322511,0.00322511,10216.14455674,32.94818997138775
1633392000,2021-10-05 00:00:00,LTC/BTC,0.00340612,0.00347466,0.00336000,0.00336947,6272.15244711,21.13382950596373
1633305600,2021-10-04 00:00:00,LTC/BTC,0.00353740,0.00353740,0.00339666,0.00341303,4657.05482788,15.894667839199276
1633219200,2021-10-03 00:00:00,LTC/BTC,0.00355780,0.00358713,0.00348371,0.00354118,3100.32460757,10.978807493834733
1633132800,2021-10-02 00:00:00,LTC/BTC,0.00345360,0.00359540,0.00345360,0.00354807,3775.96462457,13.39738680549808
1633046400,2021-10-01 00:00:00,LTC/BTC,0.00349389,0.00355364,0.00343279,0.00345312,5513.29092571,19.038055161387714
1632960000,2021-09-30 00:00:00,LTC/BTC,0.00348572,0.00355479,0.00344269,0.00349721,2678.90949470,9.368709073959787
1632873600,2021-09-29 00:00:00,LTC/BTC,0.00342353,0.00354323,0.00342009,0.00348841,7125.71183977,24.857404438972065
1632787200,2021-09-28 00:00:00,LTC/BTC,0.00344348,0.00351837,0.00341544,0.00343148,4354.03419855,14.940781271640354
1632700800,2021-09-27 00:00:00,LTC/BTC,0.00349102,0.00349801,0.00343443,0.00343635,6635.84687270,22.803092401002644
1632614400,2021-09-26 00:00:00,LTC/BTC,0.00353376,0.00353755,0.00343990,0.00347565,4650.81233507,16.164595892386043
1632528000,2021-09-25 00:00:00,LTC/BTC,0.00355638,0.00367174,0.00350928,0.00354682,4090.96522911,14.509917293911931
1632441600,2021-09-24 00:00:00,LTC/BTC,0.00366398,0.00370538,0.00344751,0.00354502,10035.66625272,35.576637579217454
1632355200,2021-09-23 00:00:00,LTC/BTC,0.00370258,0.00370258,0.00362313,0.00364961,3811.78176285,13.91151683951499
1632268800,2021-09-22 00:00:00,LTC/BTC,0.00364335,0.00374660,0.00358219,0.00369952,6064.78436180,22.436791042166334
1632182400,2021-09-21 00:00:00,LTC/BTC,0.00364951,0.00377235,0.00361866,0.00365115,11204.41699060,40.90900709522919
1632096000,2021-09-20 00:00:00,LTC/BTC,0.00371041,0.00371041,0.00354001,0.00366416,7697.32785100,28.204240818520162
1632009600,2021-09-19 00:00:00,LTC/BTC,0.00374634,0.00377415,0.00368018,0.00372237,1878.19494945,6.991336533984197
1631923200,2021-09-18 00:00:00,LTC/BTC,0.00379744,0.00386707,0.00373379,0.00375700,2691.10892872,10.110496245201041
1631836800,2021-09-17 00:00:00,LTC/BTC,0.00389813,0.00396819,0.00376691,0.00379864,3480.44096784,13.220942278075738
1631750400,2021-09-16 00:00:00,LTC/BTC,0.00393286,0.00403672,0.00386020,0.00388600,7441.24290969,28.91666994705534
1631664000,2021-09-15 00:00:00,LTC/BTC,0.00387132,0.00398003,0.00380958,0.00393286,5859.97341256,23.04645503532072
1631577600,2021-09-14 00:00:00,LTC/BTC,0.00399228,0.00403751,0.00384702,0.00389374,6003.05401149,23.374331526699073
1631491200,2021-09-13 00:00:00,LTC/BTC,0.00398828,0.00506562,0.00386810,0.00398709,36886.96590715,147.0716528987387
1631404800,2021-09-12 00:00:00,LTC/BTC,0.00395030,0.00404284,0.00391573,0.00397600,2798.56704709,11.127102579229842
1631318400,2021-09-11 00:00:00,LTC/BTC,0.00388983,0.00406808,0.00386546,0.00395311,3193.12225642,12.622763523076468
1631232000,2021-09-10 00:00:00,LTC/BTC,0.00389215,0.00398197,0.00382000,0.00387740,4859.77652409,18.843297494506565
1631145600,2021-09-09 00:00:00,LTC/BTC,0.00391596,0.00400000,0.00387782,0.00388666,13346.38830565,51.87287357203763
1631059200,2021-09-08 00:00:00,LTC/BTC,0.00380578,0.00404093,0.00376390,0.00390143,21990.77912760,85.79548541179247
1630972800,2021-09-07 00:00:00,LTC/BTC,0.00417992,0.00419918,0.00371420,0.00381065,35440.92486852,135.05296035022573
1630886400,2021-09-06 00:00:00,LTC/BTC,0.00448752,0.00448930,0.00414556,0.00416616,7949.54179336,33.1190630378247
1630800000,2021-09-05 00:00:00,LTC/BTC,0.00423905,0.00456000,0.00423400,0.00448535,10958.33823150,49.151982386658524
1630713600,2021-09-04 00:00:00,LTC/BTC,0.00426893,0.00447366,0.00419130,0.00426806,14866.66249067,63.451807509929
1630627200,2021-09-03 00:00:00,LTC/BTC,0.00372445,0.00431791,0.00370804,0.00424917,19765.91849523,83.98874789237645
1630540800,2021-09-02 00:00:00,LTC/BTC,0.00370228,0.00378970,0.00364930,0.00372179,6288.25726225,23.40357299606943
1630454400,2021-09-01 00:00:00,LTC/BTC,0.00362614,0.00376710,0.00361258,0.00370485,5072.78611181,18.793911626339277
1630368000,2021-08-31 00:00:00,LTC/BTC,0.00356925,0.00367931,0.00355559,0.00364149,5018.30292216,18.274099908016417
1630281600,2021-08-30 00:00:00,LTC/BTC,0.00358253,0.00363100,0.00352870,0.00356093,3999.79333060,14.242984064733458
1630195200,2021-08-29 00:00:00,LTC/BTC,0.00359880,0.00370416,0.00357332,0.00358055,3440.35291790,12.318355640186846
1630108800,2021-08-28 00:00:00,LTC/BTC,0.00359894,0.00360250,0.00353382,0.00358852,2091.26495715,7.5045461240319185
1630022400,2021-08-27 00:00:00,LTC/BTC,0.00358281,0.00363099,0.00354688,0.00358172,2548.62113489,9.128447291258212
1629936000,2021-08-26 00:00:00,LTC/BTC,0.00363143,0.00365150,0.00355000,0.00357858,5341.29965554,19.114268121322333
1629849600,2021-08-25 00:00:00,LTC/BTC,0.00366458,0.00368760,0.00359286,0.00363446,2615.25287402,9.50503196051073
1629763200,2021-08-24 00:00:00,LTC/BTC,0.00377807,0.00379824,0.00361000,0.00363000,4255.46607690,15.447341859147
1629676800,2021-08-23 00:00:00,LTC/BTC,0.00377526,0.00380649,0.00372984,0.00376800,3756.01033586,14.15264694552048
1629590400,2021-08-22 00:00:00,LTC/BTC,0.00368522,0.00385414,0.00368522,0.00377364,5787.99111654,21.841794797020004
1629504000,2021-08-21 00:00:00,LTC/BTC,0.00371413,0.00374885,0.00361400,0.00367730,6131.97635678,22.549116656787096
1629417600,2021-08-20 00:00:00,LTC/BTC,0.00376201,0.00380498,0.00369688,0.00373005,6180.68571364,23.054266746162885
1629331200,2021-08-19 00:00:00,LTC/BTC,0.00372086,0.00377523,0.00368941,0.00374924,3649.99930401,13.684723390566452
1629244800,2021-08-18 00:00:00,LTC/BTC,0.00378112,0.00379506,0.00368462,0.00372868,4859.60233498,18.119902034393224
1629158400,2021-08-17 00:00:00,LTC/BTC,0.00387803,0.00392948,0.00377834,0.00377834,6220.03179144,23.50139491886941
1629072000,2021-08-16 00:00:00,LTC/BTC,0.00394263,0.00397161,0.00386232,0.00387036,9874.25493678,38.21692133711584
1628985600,2021-08-15 00:00:00,LTC/BTC,0.00388609,0.00395000,0.00384794,0.00393000,8826.79506167,34.6893045923631
1628899200,2021-08-14 00:00:00,LTC/BTC,0.00384760,0.00390000,0.00373840,0.00387585,9651.82864717,37.40904006213384
1628812800,2021-08-13 00:00:00,LTC/BTC,0.00373134,0.00394993,0.00371306,0.00383348,20390.44280993,78.16635470301044
1628726400,2021-08-12 00:00:00,LTC/BTC,0.00375115,0.00388784,0.00366561,0.00371881,10092.39797144,37.53171050017078
1628640000,2021-08-11 00:00:00,LTC/BTC,0.00363293,0.00376944,0.00361984,0.00374605,18065.06783275,67.67264735487313
1628553600,2021-08-10 00:00:00,LTC/BTC,0.00360770,0.00367000,0.00353000,0.00363290,11065.67015853,40.20047311892364
1628467200,2021-08-09 00:00:00,LTC/BTC,0.00342000,0.00369059,0.00336200,0.00359231,13479.24502915,48.42162671066584
1628380800,2021-08-08 00:00:00,LTC/BTC,0.00350615,0.00352540,0.00337918,0.00341648,4117.09100676,14.065959082775404
1628294400,2021-08-07 00:00:00,LTC/BTC,0.00345362,0.00357215,0.00345000,0.00349320,8099.42607538,28.292915166517417
1628208000,2021-08-06 00:00:00,LTC/BTC,0.00351268,0.00364640,0.00345000,0.00345000,8525.73059964,29.413770568757997
1628121600,2021-08-05 00:00:00,LTC/BTC,0.00358777,0.00364863,0.00348949,0.00351641,7188.61664681,25.278123463009152
1628035200,2021-08-04 00:00:00,LTC/BTC,0.00362550,0.00363926,0.00358242,0.00358317,4133.84028401,14.812252490456112
1627948800,2021-08-03 00:00:00,LTC/BTC,0.00362054,0.00365932,0.00356662,0.00362246,4333.04480658,15.696281490043788
1627862400,2021-08-02 00:00:00,LTC/BTC,0.00351931,0.00365523,0.00351907,0.00360365,4271.42210561,15.392710270881475
