unix,date,symbol,open,high,low,close,Volume ETH,Volume BTC
1632700800,2021-09-27 00:00:00,ETH/BTC,0.07087561,0.07162816,0.06917000,0.06946000,976.74562021,67.8447507797866
1632614400,2021-09-26 00:00:00,ETH/BTC,0.06844874,0.07117096,0.06664000,0.07091572,2961.74128339,210.0340155653259
1632528000,2021-09-25 00:00:00,ETH/BTC,0.06839509,0.06916184,0.06728311,0.06846287,2885.14629014,197.52539539283708
1632441600,2021-09-24 00:00:00,ETH/BTC,0.07025640,0.07027980,0.06651149,0.06838151,8097.61924130,553.7274311251484
1632355200,2021-09-23 00:00:00,ETH/BTC,0.07065060,0.07125804,0.06986956,0.07020986,2220.11933379,155.87426760868917
1632268800,2021-09-22 00:00:00,ETH/BTC,0.06789093,0.07065270,0.06742816,0.07064640,3609.86885109,255.02423880164457
1632182400,2021-09-21 00:00:00,ETH/BTC,0.06923568,0.07118127,0.06696156,0.06783000,7313.54380386,496.0776762158238
1632096000,2021-09-20 00:00:00,ETH/BTC,0.07043000,0.07090920,0.06867311,0.06919471,6841.98823297,473.42939160377165
1632009600,2021-09-19 00:00:00,ETH/BTC,0.07111000,0.07170609,0.06978900,0.07044299,1795.60594245,126.48785144794591
1631923200,2021-09-18 00:00:00,ETH/BTC,0.07180588,0.07272224,0.07063240,0.07108520,1614.72230160,114.78285775369632
1631836800,2021-09-17 00:00:00,ETH/BTC,0.07471642,0.07490483,0.07147481,0.07191000,3087.59636069,222.0290542972179
1631750400,2021-09-16 00:00:00,ETH/BTC,0.07510122,0.07610601,0.07398568,0.07472523,5666.66347546,423.4427315363479
1631664000,2021-09-15 00:00:00,ETH/BTC,0.07291335,0.07510122,0.07166352,0.07510122,5830.65384396,437.8892170790856
1631577600,2021-09-14 00:00:00,ETH/BTC,0.07308126,0.07369834,0.07148585,0.07290834,3627.88887104,264.5033552920005
1631491200,2021-09-13 00:00:00,ETH/BTC,0.07389640,0.07411258,0.07131820,0.07307626,2577.42120359,188.34830200305578
1631404800,2021-09-12 00:00:00,ETH/BTC,0.07225452,0.07524772,0.07210178,0.07399358,639.89836446,47.34837082254017
1631318400,2021-09-11 00:00:00,ETH/BTC,0.07155965,0.07355214,0.07151394,0.07238000,1861.48888652,134.7345656063176
1631232000,2021-09-10 00:00:00,ETH/BTC,0.07399024,0.07474340,0.07089148,0.07153000,4468.88960676,319.6596735715428
1631145600,2021-09-09 00:00:00,ETH/BTC,0.07608000,0.07664804,0.07366966,0.07383796,1228.35473194,90.69920756279643
1631059200,2021-09-08 00:00:00,ETH/BTC,0.07328169,0.07634372,0.07221890,0.07582702,2490.69110256,188.8616840476392
1630972800,2021-09-07 00:00:00,ETH/BTC,0.07451442,0.07521956,0.06932962,0.07318970,8881.11156756,650.0058912962461
1630886400,2021-09-06 00:00:00,ETH/BTC,0.07623696,0.07679000,0.07443208,0.07463884,809.40602553,60.41312683456958
1630800000,2021-09-05 00:00:00,ETH/BTC,0.07797685,0.07876000,0.07603914,0.07640000,769.14673619,58.762810644915994
1630713600,2021-09-04 00:00:00,ETH/BTC,0.07881028,0.07931000,0.07704215,0.07782496,1513.15743434,117.76141680121313
1630627200,2021-09-03 00:00:00,ETH/BTC,0.07691306,0.07950279,0.07642602,0.07879400,2121.63715383,167.17227789888102
1630540800,2021-09-02 00:00:00,ETH/BTC,0.07839251,0.07839251,0.07457494,0.07687462,2446.68496027,188.08797658047135
1630454400,2021-09-01 00:00:00,ETH/BTC,0.07271399,0.07856554,0.07247322,0.07854000,6195.11295915,486.564171811641
1630368000,2021-08-31 00:00:00,ETH/BTC,0.06878789,0.07293002,0.06831163,0.07289321,1447.12035679,105.48524806276839
1630281600,2021-08-30 00:00:00,ETH/BTC,0.06609829,0.06915776,0.06575804,0.06862000,1163.53777148,79.84196187895759
1630195200,2021-08-29 00:00:00,ETH/BTC,0.06642636,0.06658652,0.06563176,0.06606087,412.54377866,27.25300093136703
1630108800,2021-08-28 00:00:00,ETH/BTC,0.06676516,0.06688556,0.06601060,0.06632243,303.10256715,20.102498792626175
1630022400,2021-08-27 00:00:00,ETH/BTC,0.06596468,0.06744737,0.06572360,0.06657454,912.59874450,60.75584161966503
1629936000,2021-08-26 00:00:00,ETH/BTC,0.06587000,0.06661294,0.06543494,0.06596469,930.88218234,61.40535458458158
1629849600,2021-08-25 00:00:00,ETH/BTC,0.06649000,0.06679710,0.06522000,0.06588198,695.19316724,45.80070234024234
1629763200,2021-08-24 00:00:00,ETH/BTC,0.06731941,0.06763548,0.06528945,0.06646951,1638.12182030,108.88515471564905
1629676800,2021-08-23 00:00:00,ETH/BTC,0.06575889,0.06760880,0.06541452,0.06699543,1951.97739477,130.7735649128959
1629590400,2021-08-22 00:00:00,ETH/BTC,0.06604260,0.06647457,0.06486434,0.06577609,1013.12975029,66.63971363675256
1629504000,2021-08-21 00:00:00,ETH/BTC,0.06654000,0.06756057,0.06553992,0.06599000,2371.65135557,156.50527295406428
1629417600,2021-08-20 00:00:00,ETH/BTC,0.06816604,0.07088567,0.06622200,0.06665765,3118.93090812,207.9006048476451
1629331200,2021-08-19 00:00:00,ETH/BTC,0.06752000,0.06815956,0.06631676,0.06813000,4100.12167935,279.3412900141155
1629244800,2021-08-18 00:00:00,ETH/BTC,0.06737958,0.06807801,0.06646000,0.06737256,2926.60874661,197.173123377507
1629158400,2021-08-17 00:00:00,ETH/BTC,0.06856000,0.06996271,0.06720474,0.06744929,1945.08374466,131.1945175678583
1629072000,2021-08-16 00:00:00,ETH/BTC,0.07043040,0.07055000,0.06855677,0.06855677,1476.80577600,101.24503391990352
1628985600,2021-08-15 00:00:00,ETH/BTC,0.06945000,0.07042169,0.06809972,0.07042000,922.20643443,64.94177711256059
1628899200,2021-08-14 00:00:00,ETH/BTC,0.06948000,0.06992900,0.06905000,0.06935000,901.81522715,62.5408860028525
1628812800,2021-08-13 00:00:00,ETH/BTC,0.06859447,0.07029297,0.06859447,0.06947302,2425.72036326,168.52211931116923
1628726400,2021-08-12 00:00:00,ETH/BTC,0.06938935,0.07031777,0.06782914,0.06850391,2070.05120913,141.8066017256327
1628640000,2021-08-11 00:00:00,ETH/BTC,0.06903512,0.07027000,0.06888000,0.06941000,1969.37963657,136.6946405743237
1628553600,2021-08-10 00:00:00,ETH/BTC,0.06839132,0.07016202,0.06769122,0.06892000,1598.75429891,110.1861462808772
1628467200,2021-08-09 00:00:00,ETH/BTC,0.06880033,0.06905932,0.06688117,0.06834311,1952.03918513,133.40842875364996
1628380800,2021-08-08 00:00:00,ETH/BTC,0.07076972,0.07125674,0.06787606,0.06876000,1222.06762342,84.0293697863592
1628294400,2021-08-07 00:00:00,ETH/BTC,0.06741173,0.07155825,0.06702587,0.07078000,3034.03888297,214.74927213661658
1628208000,2021-08-06 00:00:00,ETH/BTC,0.06916095,0.06964556,0.06666900,0.06754663,1972.15142371,133.2121825213126
1628121600,2021-08-05 00:00:00,ETH/BTC,0.06853426,0.07323101,0.06751158,0.06917906,4328.58521031,299.44745597914806
1628035200,2021-08-04 00:00:00,ETH/BTC,0.06575000,0.06935671,0.06525971,0.06861000,2682.96875002,184.0784859388722
1627948800,2021-08-03 00:00:00,ETH/BTC,0.06658178,0.06672384,0.06392674,0.06569890,2023.12034311,132.9167811099496
1627862400,2021-08-02 00:00:00,ETH/BTC,0.06413000,0.06702437,0.06359887,0.06660106,4075.36396634,271.4235600440483
1627776000,2021-08-01 00:00:00,ETH/BTC,0.06109697,0.06505798,0.06104305,0.06407450,2160.96356692,138.46266006861558
1627689600,2021-07-31 00:00:00,ETH/BTC,0.05834407,0.06109700,0.05812252,0.06109700,1476.15917536,90.18889713696993
1627603200,2021-07-30 00:00:00,ETH/BTC,0.05963000,0.06091309,0.05835226,0.05836999,2764.46355480,161.36171004904045
1627516800,2021-07-29 00:00:00,ETH/BTC,0.05746994,0.05972158,0.05717000,0.05951174,1495.33576612,88.99003332603425
1627430400,2021-07-28 00:00:00,ETH/BTC,0.05829000,0.05843708,0.05702987,0.05741254,3056.80455761,175.4989139359664
1627344000,2021-07-27 00:00:00,ETH/BTC,0.05978620,0.06030949,0.05827241,0.05827241,2059.14436324,119.9913045839102
1627257600,2021-07-26 00:00:00,ETH/BTC,0.06190534,0.06251391,0.05856000,0.05988217,5651.83191046,338.44395927359045
1627171200,2021-07-25 00:00:00,ETH/BTC,0.06384320,0.06384320,0.06192355,0.06192355,448.85860742,27.794918419502743
1627084800,2021-07-24 00:00:00,ETH/BTC,0.06296812,0.06404355,0.06284104,0.06386297,553.56808752,35.352502166247135
1626998400,2021-07-23 00:00:00,ETH/BTC,0.06270212,0.06383000,0.06226257,0.06322306,1140.87054465,72.12932689663963
1626912000,2021-07-22 00:00:00,ETH/BTC,0.06206308,0.06282284,0.06128089,0.06267780,824.02343532,51.6479760742999
1626825600,2021-07-21 00:00:00,ETH/BTC,0.06001401,0.06224823,0.05950200,0.06207151,3460.39803076,214.79213097029967
1626739200,2021-07-20 00:00:00,ETH/BTC,0.05893448,0.06064892,0.05779592,0.05999150,1139.76937602,68.37647452150384
1626652800,2021-07-19 00:00:00,ETH/BTC,0.05979616,0.06026163,0.05878609,0.05902000,892.62922595,52.682976915569
1626566400,2021-07-18 00:00:00,ETH/BTC,0.06024064,0.06208000,0.05951992,0.05975000,643.07229062,38.423569364544996
1626480000,2021-07-17 00:00:00,ETH/BTC,0.05968000,0.06023000,0.05908892,0.06020992,254.65537667,15.332779856870568
1626393600,2021-07-16 00:00:00,ETH/BTC,0.06027000,0.06136956,0.05912079,0.05985949,588.36273738,35.219093394570734
1626307200,2021-07-15 00:00:00,ETH/BTC,0.06070626,0.06165000,0.05972600,0.06016848,849.70265704,51.1253173260581
1626220800,2021-07-14 00:00:00,ETH/BTC,0.05925000,0.06137061,0.05841656,0.06072764,3677.20015794,223.30768739932344
1626134400,2021-07-13 00:00:00,ETH/BTC,0.06129870,0.06150464,0.05927532,0.05927532,754.02110465,44.69484226488224
1626048000,2021-07-12 00:00:00,ETH/BTC,0.06240413,0.06298001,0.06106112,0.06144884,1197.94993312,73.61263376830158
1625961600,2021-07-11 00:00:00,ETH/BTC,0.06302822,0.06330516,0.06237947,0.06248475,1515.25842001,94.68054355971985
1625875200,2021-07-10 00:00:00,ETH/BTC,0.06348308,0.06403394,0.06210000,0.06296118,1225.65976493,77.16898507851542
1625788800,2021-07-09 00:00:00,ETH/BTC,0.06439937,0.06509783,0.06315122,0.06351720,1911.11814161,121.38887322427068
1625702400,2021-07-08 00:00:00,ETH/BTC,0.06837000,0.06889107,0.06412410,0.06439000,1855.26015220,119.46020120015801
1625616000,2021-07-07 00:00:00,ETH/BTC,0.06787000,0.06901941,0.06745996,0.06838001,1793.03671830,122.6078687277212
1625529600,2021-07-06 00:00:00,ETH/BTC,0.06517356,0.06857983,0.06517356,0.06789584,1441.17196602,97.84958121737935
1625443200,2021-07-05 00:00:00,ETH/BTC,0.06587746,0.06689592,0.06475894,0.06511265,784.39529031,51.07405599960342
1625356800,2021-07-04 00:00:00,ETH/BTC,0.06424114,0.06663330,0.06367572,0.06573171,844.95297767,55.54020409184091
1625270400,2021-07-03 00:00:00,ETH/BTC,0.06384000,0.06449179,0.06337458,0.06419815,190.48541759,12.228811411255457
1625184000,2021-07-02 00:00:00,ETH/BTC,0.06286180,0.06403412,0.06152252,0.06366099,1128.20336334,71.8225430315541
1625097600,2021-07-01 00:00:00,ETH/BTC,0.06496892,0.06499375,0.06270102,0.06288000,2775.99585086,174.5546191020768
1625011200,2021-06-30 00:00:00,ETH/BTC,0.06025016,0.06531903,0.05995699,0.06489423,2411.54665628,156.49546336836528
1624924800,2021-06-29 00:00:00,ETH/BTC,0.06037484,0.06170782,0.06017000,0.06023685,2064.50860577,124.35949520947663
1624838400,2021-06-28 00:00:00,ETH/BTC,0.05718292,0.06199890,0.05693395,0.06043358,1619.11770421,97.84907930679138
1624752000,2021-06-27 00:00:00,ETH/BTC,0.05662360,0.05725049,0.05520530,0.05710182,956.65916083,54.62697920306571
1624665600,2021-06-26 00:00:00,ETH/BTC,0.05729275,0.05752281,0.05609000,0.05680007,1360.67662404,77.28652749283569
1624579200,2021-06-25 00:00:00,ETH/BTC,0.05744324,0.05838478,0.05526260,0.05729275,3337.65887574,191.2236555530529
1624492800,2021-06-24 00:00:00,ETH/BTC,0.05842497,0.05873452,0.05698297,0.05738363,893.76363349,51.287401651645766
1624406400,2021-06-23 00:00:00,ETH/BTC,0.05772205,0.05957723,0.05706063,0.05852764,2998.28189900,175.48236360318836
1624320000,2021-06-22 00:00:00,ETH/BTC,0.05970000,0.06095001,0.05745112,0.05778790,4217.69385834,243.73167091636608
1624233600,2021-06-21 00:00:00,ETH/BTC,0.06308658,0.06346085,0.05908684,0.05967381,7227.06849764,431.2667123851548
1624147200,2021-06-20 00:00:00,ETH/BTC,0.06099900,0.06352341,0.06090034,0.06299548,887.95526453,55.93716810759433
1624060800,2021-06-19 00:00:00,ETH/BTC,0.06240642,0.06310251,0.06102896,0.06102896,720.73295964,43.98558296455117
1623974400,2021-06-18 00:00:00,ETH/BTC,0.06233000,0.06244389,0.06036267,0.06234069,3065.25002152,191.08980136407163
1623888000,2021-06-17 00:00:00,ETH/BTC,0.06171488,0.06274490,0.06099019,0.06226598,1145.02703293,71.29623033187872
1623801600,2021-06-16 00:00:00,ETH/BTC,0.06339348,0.06339348,0.06147913,0.06178000,1811.16779245,111.893946217561
1623715200,2021-06-15 00:00:00,ETH/BTC,0.06380670,0.06511225,0.06299583,0.06340461,1520.14991183,96.38451230111554
1623628800,2021-06-14 00:00:00,ETH/BTC,0.06428000,0.06446540,0.06244378,0.06376931,2011.19803759,128.25271113046836
1623542400,2021-06-13 00:00:00,ETH/BTC,0.06679000,0.06760012,0.06360136,0.06425000,1448.00665659,93.0344276859075
1623456000,2021-06-12 00:00:00,ETH/BTC,0.06310448,0.06812000,0.06281715,0.06679783,2214.74229156,147.9399790854353
1623369600,2021-06-11 00:00:00,ETH/BTC,0.06728995,0.06743964,0.06276533,0.06305000,2337.15214106,147.357442493833
1623283200,2021-06-10 00:00:00,ETH/BTC,0.06974000,0.06984288,0.06694548,0.06734351,3363.22035299,226.49106347378557
1623196800,2021-06-09 00:00:00,ETH/BTC,0.07514469,0.07529193,0.06934460,0.06984428,3380.65923753,236.11971037063182
1623110400,2021-06-08 00:00:00,ETH/BTC,0.07723000,0.07755986,0.07429909,0.07516328,3928.92506913,295.31089507003753
1623024000,2021-06-07 00:00:00,ETH/BTC,0.07577695,0.07760000,0.07554000,0.07714298,2759.49293559,212.87550834036065
1622937600,2021-06-06 00:00:00,ETH/BTC,0.07394000,0.07593789,0.07367230,0.07578432,1153.77637001,87.43815763327625
1622851200,2021-06-05 00:00:00,ETH/BTC,0.07314956,0.07519167,0.07260000,0.07404000,1795.44159495,132.934495690098
1622764800,2021-06-04 00:00:00,ETH/BTC,0.07275251,0.07359759,0.07108379,0.07288740,3868.50960084,281.96560668026547
1622678400,2021-06-03 00:00:00,ETH/BTC,0.07197942,0.07367539,0.07159122,0.07277000,1220.03490644,88.7819401416388
1622592000,2021-06-02 00:00:00,ETH/BTC,0.07177000,0.07350453,0.07097000,0.07211640,1841.58200239,132.8082643171582
1622505600,2021-06-01 00:00:00,ETH/BTC,0.07257000,0.07282019,0.07041000,0.07183614,2072.78378979,148.90078651308502
1622419200,2021-05-31 00:00:00,ETH/BTC,0.06688654,0.07270078,0.06604514,0.07264000,2421.54792646,175.90124137805438
1622332800,2021-05-30 00:00:00,ETH/BTC,0.06587142,0.06843956,0.06508855,0.06702435,1422.10459099,95.31563584312059
1622246400,2021-05-29 00:00:00,ETH/BTC,0.06758858,0.06994998,0.06506727,0.06585000,2206.70200119,145.31132677836152
1622160000,2021-05-28 00:00:00,ETH/BTC,0.07138000,0.07152000,0.06703986,0.06766615,1764.41428440,119.39112163035306
1622073600,2021-05-27 00:00:00,ETH/BTC,0.07352000,0.07360117,0.07039910,0.07121357,2382.40475683,169.65954791884621
1621987200,2021-05-26 00:00:00,ETH/BTC,0.07057591,0.07351762,0.06930003,0.07349487,5121.49251753,376.4034267818401
1621900800,2021-05-25 00:00:00,ETH/BTC,0.06815000,0.07092000,0.06488000,0.07058000,5311.17494225,374.862727424005
1621814400,2021-05-24 00:00:00,ETH/BTC,0.06045088,0.06841996,0.05992000,0.06819785,7420.72127947,506.07723670910315
1621728000,2021-05-23 00:00:00,ETH/BTC,0.06120000,0.06244590,0.05558920,0.06065000,11338.28507217,687.6669896271105
1621641600,2021-05-22 00:00:00,ETH/BTC,0.06519544,0.06545000,0.06000000,0.06110250,6787.32417334,414.72247530150736
1621555200,2021-05-21 00:00:00,ETH/BTC,0.06823780,0.07041000,0.06269000,0.06522163,8808.39002825,574.4975553182111
